City,Locality,Property_Type,RERA_Approved,BHK,Bathrooms,Balconies,Floor,Age_of_Property_years,Ready_to_Move,Furnishing,Parking,Facing,Gated_Community,Lift_Available,Water_Supply,Security_Guard,Gym,Swimming_Pool,Power_Backup,Clubhouse,Play_Area,Near_School_km,Near_Hospital_km,Near_Metro_km,Near_Market_km,Monthly_Maintenance,EMI_Per_Lakh,Interest_Rate,Resale,Property_Tax_Annual,Pollution_Index,Noise_Index,Crime_Rate,Internet_Availability,Public_Transport_Score,Flood_Zone,Earthquake_Zone,Civic_Amenities_Rating,Market_Demand_Rating,Rental_Yield_Percent,Carpet_Area_sqft,Total_Floors,Expected_Price_Lakhs
Hyderabad,Hitech City,Independent House,Yes,1,2,2,17,17,Yes,Semi-Furnished,No,East,Yes,No,Corporation,No,Yes,No,Yes,No,No,1.64,0.92,7.49,2.56,3228,1180.73,8.69,Yes,22373,57.0,58.2,48.8,8.5,6.2,No,Yes,6.4,6.6,2.99,2121,21,261.75
Visakhapatnam,NAD Junction,Independent House,No,2,2,2,10,16,Yes,Semi-Furnished,Yes,West,Yes,Yes,Borewell,No,Yes,No,No,Yes,Yes,4.06,3.85,1.47,0.2,4205,1092.06,6.82,Yes,9720,39.3,59.4,31.8,8.2,9.2,Yes,Yes,5.3,5.9,2.43,899,19,54.27
Pune,Koregaon Park,Apartment,No,3,4,0,19,7,No,Unfurnished,No,South,No,Yes,Borewell,Yes,No,No,Yes,Yes,No,3.33,5.86,4.17,2.49,6704,879.42,7.68,No,7406,50.9,74.5,49.4,8.2,10.0,No,Yes,7.4,10.0,3.23,952,29,106.3
Mumbai,Bandra,Villa,Yes,2,2,0,11,12,No,Semi-Furnished,Yes,North,Yes,No,Both,No,No,Yes,No,No,No,4.41,1.94,3.78,2.86,1392,937.29,8.31,Yes,11630,86.7,41.6,38.5,6.4,9.2,Yes,No,7.0,9.6,2.43,2036,13,636.44
Indore,Bhawarkua,Villa,No,1,2,1,20,4,Yes,Semi-Furnished,Yes,North,No,No,Both,No,Yes,No,No,No,No,2.41,4.25,7.47,2.25,7962,832.99,8.48,No,21718,68.1,63.0,56.8,9.8,7.2,No,Yes,9.9,8.1,4.08,1628,22,86.83
Chandigarh,Zirakpur,Villa,No,1,1,1,14,24,No,Furnished,Yes,East,Yes,Yes,Both,No,No,Yes,Yes,Yes,No,2.4,0.72,1.81,1.77,6453,747.84,6.81,Yes,12081,80.8,41.5,57.0,6.3,6.3,No,Yes,5.8,8.0,2.26,550,14,33.06
Pune,Kalyani Nagar,Apartment,Yes,4,5,0,5,7,Yes,Furnished,No,West,Yes,No,Borewell,No,No,No,No,Yes,No,4.44,3.2,3.14,1.0,4623,982.72,8.9,No,18357,31.8,48.4,22.8,6.9,5.9,Yes,No,8.8,9.0,3.48,809,15,65.38
Indore,MR-10,Villa,Yes,3,4,1,9,24,Yes,Semi-Furnished,No,South,No,Yes,Both,No,No,No,Yes,Yes,Yes,2.57,2.1,5.02,0.62,5205,1190.85,8.62,No,20715,44.0,52.0,46.5,8.4,7.9,No,Yes,8.0,9.2,3.02,947,12,65.2
Indore,Palasia,Apartment,Yes,2,2,2,15,11,No,Unfurnished,Yes,North,Yes,Yes,Borewell,No,No,No,Yes,No,Yes,1.4,2.03,4.27,0.41,7552,1069.02,7.8,Yes,16556,72.7,42.7,44.9,9.3,8.7,Yes,Yes,9.1,8.7,4.28,1762,17,74.04
Hyderabad,Hitech City,Independent House,Yes,2,2,2,14,12,No,Furnished,No,West,No,Yes,Borewell,Yes,No,No,Yes,No,No,1.83,1.74,5.66,0.53,6773,809.18,7.26,No,24305,79.2,76.8,16.2,9.3,8.5,No,Yes,7.6,5.4,2.84,483,15,52.68
Kolkata,Dum Dum,Apartment,No,4,5,1,15,23,No,Furnished,Yes,South,No,Yes,Corporation,No,No,Yes,Yes,Yes,No,3.92,0.65,5.94,1.22,4527,988.35,7.02,Yes,19128,76.3,52.8,52.3,6.6,9.3,No,Yes,9.0,9.4,2.07,1523,25,110.38
Visakhapatnam,Dwaraka Nagar,Independent House,Yes,4,5,0,18,21,Yes,Unfurnished,Yes,West,No,No,Both,Yes,Yes,No,No,Yes,No,0.76,5.08,5.19,1.24,1299,844.45,7.97,No,4260,82.5,59.0,20.3,8.4,6.6,Yes,Yes,6.0,5.6,2.29,850,21,63.46
Kolkata,Salt Lake,Independent House,Yes,2,3,2,19,4,No,Unfurnished,No,East,Yes,No,Both,No,No,No,Yes,Yes,Yes,3.25,2.85,0.55,0.61,2369,730.36,8.69,Yes,10587,41.4,54.5,37.3,7.4,6.1,Yes,Yes,6.3,8.3,3.3,750,27,42.94
Ahmedabad,Thaltej,Independent House,Yes,2,2,1,8,7,Yes,Unfurnished,Yes,East,No,Yes,Borewell,No,No,Yes,Yes,No,Yes,4.38,2.13,0.52,2.73,5211,1070.52,7.7,Yes,6916,43.1,64.2,41.2,10.0,7.5,Yes,Yes,8.9,6.9,2.75,851,17,37.56
Jaipur,Vaishali Nagar,Apartment,Yes,3,4,0,14,21,No,Unfurnished,No,East,Yes,No,Borewell,No,No,Yes,Yes,Yes,No,0.62,4.52,5.29,2.67,5879,1135.66,9.48,No,3797,45.7,78.2,25.3,9.6,7.5,No,No,8.9,9.3,2.67,713,21,31.55
Hyderabad,Madhapur,Villa,No,1,1,0,10,24,No,Furnished,No,North,Yes,Yes,Corporation,No,No,Yes,No,No,No,2.87,2.44,1.12,1.89,1236,969.84,6.92,No,4720,82.1,43.4,29.6,8.7,8.0,Yes,No,5.6,9.2,3.16,468,15,53.86
Hyderabad,Kukatpally,Villa,Yes,4,5,0,11,1,Yes,Furnished,No,West,No,Yes,Corporation,Yes,No,Yes,No,Yes,Yes,1.87,2.5,6.02,2.02,7096,981.93,7.57,Yes,1252,82.6,75.1,46.5,7.0,6.2,No,Yes,6.1,5.7,2.77,1727,13,204.65
Ahmedabad,Navrangpura,Apartment,No,2,3,1,7,19,No,Semi-Furnished,No,North,Yes,Yes,Borewell,Yes,No,No,Yes,No,Yes,4.21,3.61,0.54,1.93,4470,955.91,7.63,No,22576,82.9,76.7,31.2,8.2,9.0,Yes,No,8.3,5.4,2.65,639,14,39.62
Jaipur,Jhotwara,Independent House,No,1,2,2,16,15,No,Furnished,Yes,East,Yes,Yes,Borewell,No,Yes,No,Yes,Yes,No,0.48,4.81,6.8,0.35,2502,888.5,9.02,No,22952,82.8,47.0,47.6,8.7,6.8,No,Yes,9.4,7.9,3.91,1989,24,104.92
Kolkata,Dum Dum,Independent House,Yes,4,4,1,17,23,Yes,Furnished,No,East,No,No,Both,No,Yes,Yes,Yes,Yes,Yes,4.33,2.11,5.17,2.66,6578,881.17,8.97,Yes,14566,69.8,82.1,43.1,7.6,9.8,Yes,Yes,8.7,8.3,2.18,880,19,60.5
Lucknow,Gomti Nagar,Apartment,Yes,4,5,1,18,15,No,Unfurnished,Yes,North,No,No,Borewell,No,Yes,Yes,Yes,Yes,No,2.43,1.4,4.45,0.69,1567,1172.51,8.1,No,18441,54.5,71.4,11.4,8.1,6.6,No,No,6.0,6.7,3.53,1719,25,92.03
Visakhapatnam,Gajuwaka,Apartment,Yes,4,5,2,1,18,No,Unfurnished,Yes,West,Yes,No,Borewell,No,Yes,Yes,No,No,Yes,3.49,2.56,0.63,1.21,5839,784.29,9.39,No,8503,48.5,65.3,13.1,6.3,7.8,Yes,No,7.9,5.3,2.39,1484,5,106.12
Kochi,Kakkanad,Villa,Yes,4,5,2,4,22,No,Unfurnished,No,West,Yes,No,Corporation,No,No,Yes,Yes,No,No,4.42,3.33,3.27,2.12,3093,807.95,8.94,Yes,14132,48.7,53.3,17.5,6.9,9.8,Yes,No,5.8,8.8,2.62,859,11,38.85
Mumbai,Dadar,Apartment,No,4,5,2,4,10,Yes,Semi-Furnished,No,East,No,Yes,Both,Yes,No,Yes,Yes,No,Yes,2.37,0.71,6.11,2.3,5500,716.72,7.96,Yes,8383,42.5,61.5,27.9,9.7,8.1,No,Yes,7.7,8.0,4.36,1715,8,753.71
Kochi,Kakkanad,Independent House,Yes,3,3,0,19,11,Yes,Furnished,No,West,No,No,Both,No,Yes,No,Yes,Yes,No,4.56,2.51,4.4,1.53,1422,1121.4,8.62,Yes,7808,88.0,61.2,19.5,8.7,7.9,No,Yes,5.8,6.9,2.05,857,23,39.46
Mumbai,Borivali,Villa,Yes,4,5,1,10,12,No,Semi-Furnished,No,South,Yes,Yes,Both,No,Yes,No,No,Yes,No,1.21,4.81,2.28,1.07,6848,749.26,9.11,No,6188,55.2,54.7,53.3,9.1,9.1,Yes,Yes,10.0,6.3,3.31,669,11,252.74
Hyderabad,Kukatpally,Independent House,Yes,1,2,0,13,17,No,Semi-Furnished,Yes,South,No,No,Borewell,Yes,No,No,Yes,Yes,No,1.34,2.7,4.08,2.15,3580,794.99,9.03,Yes,19657,50.1,63.6,29.8,10.0,9.6,Yes,No,5.9,7.1,2.39,1246,22,118.11
Delhi,South Extension,Apartment,No,2,2,1,16,25,No,Unfurnished,Yes,East,Yes,Yes,Corporation,No,No,Yes,No,Yes,No,4.62,3.07,7.97,2.76,4948,1098.14,7.05,No,15559,31.6,50.5,38.5,7.2,7.6,Yes,Yes,6.1,6.3,4.12,1184,17,387.84
Delhi,South Extension,Villa,No,2,3,2,9,18,Yes,Unfurnished,No,North,No,No,Borewell,Yes,No,Yes,No,No,No,2.06,3.74,2.16,0.32,4518,1139.15,8.88,Yes,19133,68.7,56.1,21.9,7.2,6.4,No,No,7.3,9.4,3.64,1408,16,515.02
Bengaluru,HSR Layout,Apartment,No,1,2,0,20,1,Yes,Unfurnished,No,East,Yes,No,Corporation,No,Yes,Yes,No,Yes,No,3.69,1.2,3.36,0.84,1950,911.82,6.97,No,18287,62.6,65.6,57.4,9.4,9.1,No,Yes,5.8,7.2,2.52,1163,23,96.02
Lucknow,Indira Nagar,Apartment,No,1,1,0,11,15,Yes,Semi-Furnished,Yes,South,Yes,No,Borewell,No,No,No,No,Yes,Yes,2.33,3.77,7.24,0.26,2356,1066.62,9.19,No,8830,47.1,55.7,15.4,6.8,7.7,Yes,No,8.4,8.4,4.08,1406,14,72.02
Visakhapatnam,Dwaraka Nagar,Villa,Yes,3,3,2,13,22,Yes,Furnished,Yes,North,Yes,No,Borewell,Yes,No,Yes,Yes,Yes,Yes,2.77,4.36,5.17,0.63,1415,1105.99,7.34,Yes,24441,76.7,40.5,47.5,7.4,9.6,Yes,No,7.3,6.3,3.75,541,13,32.64
Kolkata,Dum Dum,Apartment,No,2,2,1,1,2,No,Unfurnished,Yes,North,Yes,No,Both,No,No,Yes,Yes,No,No,2.44,1.36,6.46,2.29,3735,1111.59,6.7,No,20258,81.4,47.4,29.9,6.8,9.0,No,Yes,8.7,7.9,4.46,466,11,26.82
Patna,Boring Road,Independent House,Yes,2,2,1,18,12,Yes,Semi-Furnished,Yes,South,No,Yes,Borewell,No,Yes,No,No,Yes,No,2.73,2.41,0.78,2.71,2126,808.62,6.96,No,5484,50.6,66.9,14.7,7.2,7.3,Yes,No,7.8,9.8,4.28,1277,22,53.79
Mumbai,Goregaon,Independent House,No,1,1,2,1,18,No,Furnished,No,South,Yes,No,Corporation,Yes,Yes,Yes,Yes,Yes,No,0.64,4.55,6.82,0.8,6713,1158.58,7.65,No,21789,46.3,58.3,17.0,8.9,6.2,Yes,Yes,5.5,9.8,3.64,947,1,373.0
Surat,Katargam,Independent House,Yes,4,5,1,10,12,Yes,Unfurnished,No,South,Yes,Yes,Corporation,Yes,No,No,Yes,Yes,No,3.07,1.29,6.44,1.44,6164,1122.55,6.99,No,2485,58.6,75.2,19.2,6.3,8.4,No,No,7.8,6.0,2.99,1985,17,63.9
Visakhapatnam,Dwaraka Nagar,Apartment,No,3,4,2,6,14,Yes,Furnished,Yes,West,Yes,Yes,Both,Yes,Yes,Yes,Yes,No,No,0.97,1.11,2.63,1.65,6069,1195.27,7.35,Yes,19882,50.0,46.3,49.2,8.9,8.5,No,Yes,7.3,5.9,4.45,1760,13,90.62
Patna,Boring Road,Villa,Yes,4,4,2,20,5,No,Furnished,No,East,No,Yes,Both,Yes,Yes,Yes,Yes,Yes,No,2.83,2.37,6.36,2.16,1153,716.76,7.03,No,12727,37.3,61.6,18.8,6.3,7.6,Yes,No,8.7,7.8,4.09,810,27,41.22
Mumbai,Malad,Villa,Yes,3,3,2,6,22,Yes,Unfurnished,No,East,Yes,Yes,Borewell,Yes,Yes,No,No,No,No,0.55,0.76,2.08,2.82,3196,1154.05,6.98,No,1903,66.0,60.2,43.3,8.6,9.0,Yes,No,8.1,6.2,2.39,1791,14,900.74
Visakhapatnam,NAD Junction,Villa,No,2,3,0,11,13,Yes,Furnished,Yes,South,No,Yes,Corporation,Yes,Yes,Yes,Yes,No,No,1.56,3.08,5.27,1.01,1515,1067.09,8.57,Yes,9549,58.9,81.1,12.4,7.9,5.0,No,No,7.9,8.4,4.25,1649,13,84.05
Hyderabad,Madhapur,Villa,No,4,5,2,15,15,Yes,Semi-Furnished,Yes,West,No,Yes,Borewell,No,Yes,Yes,Yes,Yes,Yes,0.58,1.48,7.3,2.76,2034,822.25,7.2,Yes,2934,54.5,49.4,22.6,6.8,6.7,Yes,No,8.9,6.4,4.08,1923,18,152.44
Visakhapatnam,NAD Junction,Independent House,Yes,1,2,0,4,21,Yes,Unfurnished,No,South,No,No,Corporation,No,No,Yes,Yes,Yes,No,4.14,3.94,4.52,1.18,1266,864.7,6.72,No,12933,51.1,65.2,28.3,9.9,9.3,Yes,No,8.4,7.9,3.27,890,10,40.83
Ahmedabad,Bopal,Apartment,No,1,2,0,11,20,No,Furnished,No,North,No,No,Corporation,Yes,No,Yes,Yes,No,Yes,3.33,5.35,1.87,2.7,1511,817.57,7.89,Yes,18359,39.3,50.5,13.2,7.1,7.6,Yes,Yes,8.3,7.6,2.94,1871,18,122.29
Kochi,Edappally,Independent House,No,1,2,0,17,7,Yes,Semi-Furnished,No,West,No,No,Both,No,No,No,Yes,Yes,Yes,2.2,0.56,7.2,1.28,1388,905.61,8.77,No,7811,45.1,53.3,27.6,8.7,8.5,No,Yes,5.7,9.3,2.34,1463,23,68.59
Pune,Kalyani Nagar,Independent House,No,1,1,0,14,11,No,Semi-Furnished,No,West,Yes,No,Borewell,Yes,Yes,No,Yes,Yes,No,0.61,0.53,1.02,1.55,6816,754.9,7.38,Yes,12268,42.7,44.7,52.1,9.4,8.7,No,No,8.4,9.3,2.02,823,17,60.27
Chandigarh,Manimajra,Villa,Yes,4,4,1,13,17,Yes,Unfurnished,Yes,North,No,No,Borewell,No,No,Yes,Yes,Yes,No,4.05,1.95,1.35,2.68,7679,888.72,7.74,No,23596,43.5,82.9,23.1,6.5,9.2,Yes,No,7.3,7.3,4.41,2020,23,144.25
Chennai,Anna Nagar,Apartment,Yes,2,3,2,1,7,Yes,Unfurnished,Yes,West,No,Yes,Corporation,No,No,No,Yes,No,No,0.93,5.36,2.91,2.54,2645,975.52,7.79,No,15108,33.3,67.0,19.2,9.9,8.5,No,No,8.2,8.9,3.75,858,11,58.03
Visakhapatnam,Seethammadhara,Villa,No,1,2,0,11,2,No,Furnished,No,East,Yes,Yes,Both,Yes,Yes,Yes,Yes,No,No,2.94,0.28,4.2,1.93,3137,720.03,8.39,Yes,3181,88.5,47.8,57.7,8.7,5.6,No,Yes,7.1,6.7,2.22,532,18,29.91
Delhi,Janakpuri,Independent House,Yes,2,2,2,3,18,No,Unfurnished,Yes,East,No,No,Both,Yes,Yes,Yes,No,No,No,2.18,3.79,7.83,2.92,6648,920.91,8.21,Yes,4066,81.1,42.9,54.0,6.8,5.7,Yes,No,6.9,5.1,4.11,1903,12,989.79
Indore,Vijay Nagar,Independent House,Yes,2,2,2,10,12,No,Unfurnished,No,North,Yes,Yes,Corporation,Yes,Yes,No,No,Yes,Yes,1.21,4.04,4.66,1.85,5633,1039.31,8.72,No,12015,76.1,56.3,46.2,6.9,7.5,Yes,Yes,7.9,7.0,3.37,1531,20,91.85
Surat,City Light,Villa,No,1,2,2,17,2,Yes,Unfurnished,Yes,South,Yes,Yes,Corporation,Yes,No,Yes,No,No,Yes,0.45,1.41,4.7,1.74,7635,1195.97,8.73,Yes,10283,63.6,46.6,13.7,9.8,9.0,No,No,7.0,6.6,3.87,907,18,32.7
Lucknow,Gomti Nagar,Independent House,Yes,4,4,2,14,11,Yes,Furnished,No,West,No,Yes,Corporation,No,No,No,Yes,Yes,No,1.01,2.2,7.21,0.48,3398,1142.85,7.32,Yes,4629,54.7,83.0,55.4,9.4,7.8,No,Yes,7.4,6.2,2.81,1775,17,95.97
Lucknow,Indira Nagar,Villa,Yes,4,4,0,13,7,Yes,Unfurnished,Yes,South,Yes,Yes,Both,No,Yes,No,Yes,No,Yes,1.82,2.07,5.1,0.69,5016,1138.06,7.49,No,4550,54.9,67.7,33.1,8.8,6.7,No,Yes,7.2,9.5,2.56,1263,19,55.53
Bengaluru,HSR Layout,Independent House,No,4,4,1,4,8,Yes,Semi-Furnished,No,East,Yes,No,Corporation,Yes,Yes,No,No,No,Yes,0.96,4.12,7.82,2.22,1312,909.97,7.88,Yes,21545,52.8,69.0,20.2,6.3,9.0,Yes,Yes,6.5,8.1,4.39,1652,10,138.42
Indore,Vijay Nagar,Villa,No,4,5,1,16,15,No,Furnished,Yes,East,No,No,Corporation,No,Yes,No,Yes,Yes,No,4.29,3.32,7.89,0.8,2875,903.4,6.94,No,18386,41.0,42.0,45.5,9.8,8.7,Yes,Yes,8.7,6.2,2.18,1597,22,99.08
Indore,Rau,Independent House,Yes,2,3,0,17,4,Yes,Furnished,No,South,Yes,Yes,Borewell,No,Yes,No,No,Yes,Yes,3.79,2.06,3.98,1.98,4718,938.52,6.76,Yes,22005,76.5,50.7,57.0,7.7,5.8,No,Yes,8.1,7.7,3.43,1208,27,66.2
Jaipur,Vaishali Nagar,Villa,No,1,2,0,15,24,No,Unfurnished,Yes,South,No,Yes,Borewell,No,Yes,Yes,No,Yes,No,1.12,4.16,5.82,0.65,4650,933.87,6.9,Yes,4176,75.8,57.9,43.5,7.8,8.4,No,No,6.1,9.1,2.17,1763,17,64.57
Pune,Hinjewadi,Independent House,No,4,4,1,1,22,Yes,Unfurnished,No,North,No,No,Borewell,Yes,No,Yes,Yes,No,No,4.34,2.18,3.35,0.41,2995,718.23,9.16,Yes,14715,69.8,75.6,23.2,9.2,5.9,Yes,No,7.4,8.6,2.17,1793,7,149.29
Kolkata,Garia,Villa,Yes,2,3,1,5,4,No,Unfurnished,No,West,No,No,Borewell,Yes,Yes,Yes,No,Yes,Yes,3.83,5.5,6.59,2.18,6910,888.38,8.4,Yes,4950,43.9,42.9,44.6,9.5,6.8,No,No,9.5,9.1,2.09,632,15,38.25
Surat,Adajan,Apartment,No,1,2,0,8,14,No,Furnished,No,West,No,Yes,Borewell,No,No,No,No,No,No,0.54,5.06,4.14,1.61,2172,911.58,7.78,Yes,17589,36.9,68.1,40.4,7.7,5.2,Yes,Yes,6.1,5.6,2.22,764,14,40.79
Ahmedabad,Maninagar,Apartment,Yes,2,3,1,19,24,No,Unfurnished,No,South,Yes,Yes,Both,No,No,No,Yes,No,No,3.9,0.35,6.21,2.25,6428,861.45,9.26,No,5425,44.7,83.2,12.5,9.0,6.6,No,Yes,9.0,7.2,2.16,2124,29,119.06
Delhi,South Extension,Independent House,Yes,4,4,1,2,24,No,Unfurnished,Yes,South,No,Yes,Corporation,No,No,Yes,No,Yes,No,1.76,1.84,4.28,2.75,5005,1051.7,6.81,Yes,5395,86.6,49.9,34.0,7.9,6.1,No,No,6.5,7.9,2.1,1315,8,106.03
Indore,Palasia,Villa,Yes,1,2,0,17,16,Yes,Furnished,Yes,West,Yes,No,Borewell,No,Yes,No,Yes,No,Yes,3.89,3.78,6.65,0.66,4878,1121.29,8.75,No,2619,55.6,47.7,46.6,9.3,9.2,Yes,Yes,8.5,8.5,4.3,619,25,28.34
Kochi,Edappally,Apartment,No,1,2,1,7,13,Yes,Furnished,No,North,Yes,No,Corporation,No,Yes,Yes,No,Yes,No,2.83,1.75,1.36,2.65,7512,1035.4,8.31,No,10127,88.8,40.8,48.9,9.2,9.8,Yes,No,9.8,9.3,2.56,486,15,34.86
Mumbai,Dadar,Apartment,No,2,3,2,7,13,No,Unfurnished,No,East,Yes,Yes,Both,No,Yes,Yes,Yes,Yes,No,2.27,3.84,6.56,2.19,7911,981.88,9.05,Yes,22729,75.8,48.9,55.8,6.9,6.1,No,No,6.3,9.5,3.86,1154,10,633.11
Surat,Udhna,Villa,No,2,2,0,14,22,Yes,Furnished,No,North,No,No,Both,No,Yes,Yes,No,No,No,0.69,4.88,6.62,2.16,6206,757.23,6.6,No,5727,68.0,58.0,17.5,6.7,6.0,No,Yes,9.5,5.6,2.44,2092,18,66.44
Patna,Ashiana Nagar,Apartment,Yes,3,3,1,12,18,No,Furnished,Yes,East,No,No,Both,No,Yes,No,Yes,No,Yes,4.87,3.57,7.77,2.46,1953,832.18,9.36,No,18299,86.1,43.7,17.0,8.0,5.5,No,No,5.8,5.0,2.57,1670,22,89.42
Kochi,Aluva,Villa,No,1,2,1,14,7,Yes,Semi-Furnished,No,East,No,No,Corporation,No,Yes,No,Yes,No,No,0.51,1.64,4.53,2.92,1311,1189.95,8.97,Yes,16864,43.4,46.6,50.0,6.6,6.9,Yes,No,5.4,5.1,3.05,1167,23,70.01
Pune,Viman Nagar,Apartment,No,1,1,1,16,2,Yes,Semi-Furnished,Yes,South,No,No,Borewell,Yes,No,No,No,No,No,3.52,0.4,2.28,2.81,2212,891.71,8.23,No,6132,32.0,80.5,21.2,6.4,7.7,No,Yes,5.1,9.4,2.52,1496,18,152.65
Pune,Wakad,Villa,No,3,3,1,3,5,No,Unfurnished,No,West,Yes,Yes,Corporation,Yes,Yes,No,Yes,Yes,Yes,0.35,0.69,2.19,1.77,3546,826.92,7.5,Yes,12573,85.5,57.8,41.0,7.9,9.5,No,No,5.4,6.8,3.19,816,9,75.66
Indore,Rajendra Nagar,Independent House,No,2,2,0,2,10,No,Furnished,No,South,Yes,No,Borewell,No,No,Yes,No,Yes,Yes,1.95,1.91,2.33,2.93,2322,1105.15,7.5,Yes,5101,32.7,49.8,33.9,9.4,6.3,Yes,Yes,6.1,7.3,3.18,472,3,28.32
Delhi,Karol Bagh,Apartment,Yes,2,2,0,13,3,Yes,Semi-Furnished,No,East,No,Yes,Both,Yes,Yes,No,No,No,No,4.87,1.53,6.89,2.93,3489,968.4,8.42,Yes,3966,66.3,53.8,16.0,7.4,8.2,Yes,Yes,5.1,6.5,2.87,1777,20,623.38
Chandigarh,Manimajra,Independent House,Yes,4,4,0,18,1,No,Furnished,No,East,Yes,No,Both,No,No,No,No,Yes,No,2.34,1.35,5.04,1.74,4761,1070.51,7.91,Yes,18095,53.0,52.4,42.7,9.0,8.2,Yes,No,7.1,8.4,2.59,787,23,70.54
Patna,Boring Road,Apartment,No,4,4,2,17,20,No,Semi-Furnished,No,West,No,Yes,Both,No,No,Yes,No,No,No,1.41,4.13,2.04,1.52,3731,1125.33,9.2,Yes,11346,74.7,72.3,52.0,6.7,7.9,Yes,No,6.6,8.6,3.52,485,26,25.92
Mumbai,Goregaon,Villa,No,2,2,0,17,9,No,Semi-Furnished,Yes,West,No,Yes,Both,Yes,No,Yes,No,No,No,2.17,4.17,4.01,2.3,2465,867.67,7.87,Yes,20254,65.8,83.0,51.6,6.9,9.0,Yes,Yes,6.3,7.7,2.97,593,18,332.06
Ahmedabad,Navrangpura,Apartment,No,2,2,2,10,2,No,Unfurnished,No,East,Yes,No,Corporation,No,No,Yes,Yes,Yes,Yes,4.76,1.85,0.89,1.6,2039,958.23,8.01,No,11464,47.6,75.6,33.0,7.5,10.0,Yes,Yes,7.9,8.2,2.01,1672,15,82.79
Kochi,Aluva,Apartment,No,4,4,0,19,16,Yes,Semi-Furnished,No,East,No,No,Borewell,No,Yes,No,No,No,No,3.06,4.3,2.88,2.36,6820,864.21,7.74,Yes,11249,53.4,65.1,16.0,8.8,8.1,Yes,Yes,5.2,6.1,2.87,615,19,42.16
Chennai,Tambaram,Villa,No,2,2,0,19,23,No,Unfurnished,Yes,North,Yes,Yes,Both,Yes,Yes,No,No,Yes,No,0.86,2.37,3.15,1.63,5303,1106.0,7.84,No,14944,60.9,64.3,36.2,6.9,7.0,No,No,8.7,7.5,2.85,1137,25,106.48
Chandigarh,Sector 17,Villa,Yes,1,2,2,3,11,Yes,Furnished,No,South,Yes,Yes,Both,No,Yes,Yes,Yes,No,Yes,3.46,0.98,1.94,0.48,2387,1145.16,9.03,No,2609,79.1,76.6,48.2,8.8,8.9,Yes,No,7.4,8.9,3.19,2057,6,189.95
Kochi,Aluva,Villa,No,2,2,0,11,23,No,Furnished,No,East,No,Yes,Borewell,No,No,Yes,Yes,No,No,2.76,3.71,3.89,1.37,7730,1010.37,6.92,No,2159,30.1,42.8,44.6,7.8,8.3,Yes,Yes,5.2,5.2,3.64,2039,14,86.98
Pune,Hinjewadi,Villa,No,2,2,0,18,6,Yes,Semi-Furnished,No,East,No,No,Borewell,No,No,Yes,Yes,Yes,No,1.54,4.38,5.64,0.21,3983,730.56,8.8,Yes,19789,78.1,70.9,45.9,8.1,6.2,Yes,No,7.2,7.0,3.21,1284,18,92.2
Pune,Hinjewadi,Independent House,Yes,2,3,1,7,2,No,Furnished,No,North,No,No,Borewell,No,Yes,No,Yes,Yes,No,3.25,3.31,2.11,1.19,2025,978.14,7.96,Yes,8751,32.0,43.8,57.3,7.5,7.2,No,No,8.0,6.0,2.13,819,11,67.08
Lucknow,Indira Nagar,Apartment,No,4,5,1,19,13,Yes,Furnished,Yes,North,Yes,No,Borewell,Yes,Yes,No,Yes,No,Yes,2.05,1.34,5.39,1.81,7627,801.21,8.79,No,12631,68.0,43.2,43.1,9.4,6.1,Yes,Yes,8.0,5.9,3.8,976,23,42.34
Jaipur,Malviya Nagar,Apartment,Yes,2,3,2,8,1,No,Furnished,Yes,East,Yes,No,Both,No,No,No,No,No,Yes,3.07,2.07,7.98,0.88,6106,1174.59,6.86,Yes,17153,71.0,80.2,22.1,10.0,5.7,No,No,6.8,5.6,2.19,1600,9,103.16
Chandigarh,Manimajra,Villa,Yes,3,4,0,20,1,Yes,Furnished,No,East,No,Yes,Borewell,No,No,Yes,No,No,Yes,1.78,2.27,7.61,2.96,1521,863.63,7.82,No,14557,70.9,65.6,44.3,7.2,6.4,Yes,No,8.3,8.3,2.94,1459,25,141.04
Surat,Adajan,Villa,Yes,3,4,0,18,1,No,Unfurnished,No,North,Yes,Yes,Corporation,Yes,No,No,Yes,Yes,No,0.24,2.12,6.82,2.1,6027,775.31,8.08,No,9676,54.7,61.6,43.1,7.4,9.2,No,No,5.7,9.4,2.8,1706,24,58.52
Delhi,Saket,Villa,No,4,5,1,11,5,No,Furnished,Yes,East,No,Yes,Borewell,No,Yes,Yes,Yes,Yes,Yes,1.91,4.91,6.35,2.4,6658,791.76,6.73,Yes,17383,32.2,74.9,15.8,6.2,6.2,No,No,7.7,8.9,3.05,759,20,350.43
Lucknow,Hazratganj,Apartment,Yes,1,2,0,17,11,No,Furnished,Yes,West,Yes,Yes,Both,Yes,No,Yes,Yes,No,No,0.74,4.79,2.3,1.91,2888,895.81,8.41,Yes,3459,77.6,50.1,32.3,8.7,5.1,No,Yes,6.6,8.6,2.03,1639,20,87.53
Chandigarh,Manimajra,Independent House,Yes,1,1,0,2,19,No,Unfurnished,No,South,No,Yes,Corporation,No,No,Yes,No,Yes,Yes,0.36,4.85,2.01,1.9,4475,1115.16,8.12,No,4278,83.7,53.4,59.5,6.4,8.8,Yes,No,7.7,9.5,3.1,558,8,40.29
